ID;Title_RU;Title_EN;Year;Age_Rating;Runtime;Image_URL;Synopsis;DB_Genres;Countries;Director;Cast;DB_Rating_1;DB_Rating_2;DB_Rating_3;Budget;CSV_Title_RU;CSV_Category_1;CSV_Category_2;CSV_Category_3;CSV_Category_4;CSV_Rating_1;CSV_Rating_2;CSV_Rating_3;Source
43147;Последний герой;;1992;12;64;https://avatars.mds.yandex.net/get-kinopoisk-image/6201401/ef4f759e-2b4a-4889-8fcb-7a7b8adb8769/600x900;"Портрет создателя группы «Кино», складываясь из размышлений и воспоминаний любивших его людей, предстает перед зрителями как музыкальное пророчество талантливого артиста о собственной жизни.";['документальный'];['Россия'];"[273009, 'Алексей Учитель']";"[[290123, 'Виктор Цой'], [1796480, 'Александр Цой'], [1754934, 'Марьяна Цой'], [1979702, 'Роберт Цой'], [1979701, 'Валентина Цой'], [1641412, 'Георгий Гурьянов'], [1050786, 'Андрей Крисанов'], [2004770, 'Елена Андреева'], [638036, 'Юрий Александров'], [290124, 'Вадим Донец']]";7.725;7.1;7.4;;Последний герой;Приключения;Боевик (Экшен);Экстремальное выживание;Новинки (2020–2025);7.725;7.1;0;DB & CSV
255325;Приключения Хомы;;1978;0;9;https://avatars.mds.yandex.net/get-kinopoisk-image/1629390/87a1984a-ef9a-4c20-b24a-7ebe45e57a04/600x900;"История о том, как ленивый хомяк Хома заставил Суслика выполнять за него все повседневные дела.";"['мультфильм', 'короткометражка']";['СССР'];"[174295, 'Гарри Бардин']";"[[261638, 'Алексей Борзунов'], [185573, 'Валерий Носик'], [270690, 'Михаил Меерович'], [1135184, 'Леонид Шварцман'], [1996000, 'Маргарита Михеева'], [310675, 'Михаил Друян'], [996210, 'Любовь Бутырина'], [301060, 'Альберт Иванов']]";7.994;7.0;7.5;;Приключения Хомы;Приключения;Семейный;Поиски сокровищ;Новинки (2020–2025);7.994;7;0;DB & CSV
9298;Выжить;Alive;1992;16;121;https://image.openmoviedb.com/kinopoisk-images/1600647/bb9303b6-0a41-429b-b842-dfcf0f213029/600x900;"Осенью 1972 года в пятницу тринадцатого октября над Андами потерпел катастрофу авиалайнер, на борту которого находилась школьная сборная по регби из Уругвая. Самолет рухнул на высокогорное плато, которое было полностью отрезано от внешнего мира.  Здесь, среди дикой стужи и трупов, горстке оставшихся в живых школьников предстоял жестокий, нечеловеческий тест на выживание. Семьдесят два бесконечных, мучительных дня молодые люди боролись за свою жизнь.  Убежищем им служили обломки самолета, пищей - тела погибших товарищей. Иногда приходится превратиться в зверя, чтобы остаться человеком...";"['триллер', 'драма', 'приключения', 'история']";"['США', 'Канада']";"[20397, 'Фрэнк Маршалл']";"[[4630, 'Итан Хоук'], [44652, 'Винсент Спано'], [12170, 'Джош Хэмилтон'], [31639, 'Брюс Рэмсей'], [79064, 'Джон Хеймс Ньютон'], [5812, 'Дэвид Кригел'], [23387, 'Кевин Брезнахан'], [113018, 'Сэм Беренс'], [2798, 'Иллиана Даглас'], [10385, 'Джек Ноузуорти']]";7.696;7.1;7.0;32000000$;Выжить;Приключения;Драма;Экстремальное выживание;Современное кино (2000–2020);7.696;7.1;6.3;DB & CSV
8210;Потерянный горизонт;;1937;0;132;https://image.openmoviedb.com/kinopoisk-images/9784475/a1c98f48-bc3a-4ce8-8512-1c6148a5a40b/600x900;"Герои фильма попадают в мифическую страну Шангри-Ла, о которой грезят все поклонники эзотерических знаний. По их мнению, духовный «центр» человечества расположен в сердце Гималаев, в районе, который не отмечен на картах и, по существу, недоступен, ибо мы ещё не готовы правильно использовать сконцентрированные там энергию и информацию. Рональд Колман в роли британского дипломата, идеалиста-мечтателя Роберта Конвея, вылетающего последним самолётом из охваченного пламенем революции Китая. С ним пёстрая компания попутчиков: его младший брат, чудаковатый палеонтолог, жулик и проститутка. Пилот меняет курс и сажает самолет в снегах Тибета. Загадочные монахи проводят пассажиров секретными тропами в тёплую, плодородную долину с великолепными мраморными статуями, садами и террасами, царство мира и гармонии во главе с Верховным Ламой... Конвею предлагают стать новым правителем, но плата за это будет высокой...";"['фэнтези', 'драма', 'приключения']";['США'];"[154897, 'Фрэнк Капра']";"[[178199, 'Рональд Колман'], [150477, 'Джейн Уайатт'], [185896, 'Эдвард Эверетт Хортон'], [179845, 'Джон Ховард'], [198229, 'Томас Митчелл'], [197879, 'Марго'], [210440, 'Изабель Джуэлл'], [201321, 'Х.Б. Уорнер'], [158584, 'Сэм Джаффе'], [211639, 'Норман Эйнсли']]";7.413;7.6;7.6;4000000$;Потерянный горизонт;Приключения;Фэнтези;Экзотические путешествия;Классика (до 2000 года);7.413;7.6;7.7;DB & CSV
339;Индиана Джонс: В поисках утраченного ковчега;Indiana Jones and the Raiders of the Lost Ark;1981;12;115;https://image.openmoviedb.com/kinopoisk-images/10703959/c4c8cca3-fed9-49f8-8918-1e8301a4327e/600x900;"Известный археолог и специалист по оккультным наукам доктор Джонс получает опасное задание от правительства США. Он должен отправиться на поиски уникальной реликвии — священного Ковчега. Но Индиана и не подозревает, что аналогичный приказ уже получили тайные агенты Адольфа Гитлера.";"['приключения', 'боевик', 'комедия']";['США'];"[22260, 'Стивен Спилберг']";"[[5679, 'Харрисон Форд'], [2674, 'Карен Аллен'], [41771, 'Пол Фримен'], [141431, 'Рональд Лейси'], [28519, 'Джон Рис-Дэвис'], [118866, 'Денхолм Эллиотт'], [6225, 'Альфред Молина'], [47385, 'Вольф Калер'], [79636, 'Энтони Хиггинс'], [128438, 'Вик Тэблиан']]";7.985;8.4;8.6;18000000$;Индиана Джонс: В поисках утраченного ковчега;Приключения;Боевик (Экшен);Поиски сокровищ;Классика (до 2000 года);7.985;8.4;9.3;DB & CSV
52408;Побег из Гулага;As Far As My Feet Will Carry Me;2001;16;158;https://image.openmoviedb.com/kinopoisk-images/1599028/e4a4a17c-0d1b-4b25-834f-9c760150e33a/600x900;"Немецкий военнопленный Клеменс Форелль был приговорен к заключению на Колыме. Проработав четыре года на шахтах, он в 1949 году бежал из лагеря.  По пятам преследуемый НКВД, осознавая, что каждый следующий шаг может стать для него последним, он шел через всю Сибирь и Среднюю Азию к иранской границе. 14 тысяч километров и три бесконечных года, проведенных в странствиях, не смогли сломить его стремление к свободе…";"['боевик', 'драма', 'приключения', 'военный']";['Германия'];"[406301, 'Харди Мартинс']";"[[58516, 'Бернхард Беттерман'], [406305, 'Ирис Бём'], [266135, 'Анатолий Котенёв'], [44408, 'Михаэль Мендль'], [38613, 'Ирина Пантаева'], [254024, 'Ханс-Уве Бауэр'], [2185, 'Андре Хеннике'], [53686, 'Антонио Ваннек'], [254303, 'Йоханнес Хицблех'], [283104, 'Штефан Вольф-Шёнбург']]";7.536;7.3;7.4;15000000DEM;Побег из Гулага;Приключения;Драма;Экстремальное выживание;Современное кино (2000–2020);7.536;7.3;0;DB & CSV
44703;Капитан «Пилигрима»;;1986;12;93;https://image.openmoviedb.com/kinopoisk-images/1629390/d44e344e-321c-49d9-a0d9-f171bd5a5601/600x900;"Юнга Дик Сэндз занимает место погибшего капитана и приводит корабль «Пилигрим» в Африку, а не в Америку, так как подлый злодей и работорговец Негоро подложил под компас топор.  Так пятнадцатилетний капитан, жена судовладельца с маленьким сыном, профессор и экипаж попали в плен к негодяям, наживающимся на живом товаре.";['приключения'];['СССР'];"[284508, 'Андрей Праченко']";"[[304360, 'Вячеслав Ходченко'], [273160, 'Нодар Мгалоблишвили'], [238716, 'Альберт Филозов'], [294214, 'Татьяна Паркина'], [261607, 'Лев Дуров'], [251207, 'Леонид Ярмольник'], [304361, 'Вергилио Эчмендия'], [304362, 'Андрей Фурманчук'], [281082, 'Эрменгельд Коновалов'], [304363, 'Хосе Васкес']]";7.092;6.5;6.8;;Капитан «Пилигрима»;Приключения;Детектив;Поиски сокровищ;Классика (до 2000 года);7.092;6.5;0;DB & CSV
466649;Далеко по соседству;;2010;18;98;https://image.openmoviedb.com/kinopoisk-images/1600647/dfbcb5e9-93a2-4866-92a5-c4b76a617d2b/600x900;"К пятидесяти годам у Томаса за спиной престижная работа, счет в банке, жена и дети. А впереди - серая и неинтересная жизнь. Однажды Томас по ошибке садится не на тот поезд и оказывается в городе своего детства. Именно здесь сорок лет назад случилась страшная трагедия, от которой мать так и не смогла оправиться.  Чудесное превращение дает Томасу возможность вернуться в прошлое. Оказавшись в собственном теле в четырнадцатилетнем возрасте, но с опытом пятидесятилетней жизни, он вновь встречает первую школьную любовь, старых друзей, любимую сестру и верного пса. Встречает и отца, который пока еще не ушел из семьи. Возможно, весь смысл удивительного путешествия в том и состоит, чтобы предотвратить трагедию?..";"['фэнтези', 'драма', 'комедия']";"['Бельгия', 'Люксембург', 'Франция', 'Германия']";"[466102, 'Сэм Гарбарски']";"[[20018, 'Паскаль Греггори'], [44104, 'Жонатан Заккаи'], [234190, 'Александра Мария Лара'], [722705, 'Лео Легран'], [2106496, 'Лаура Мартин'], [2106497, 'Лаура Мойссон'], [1823229, 'Пьер-Луи Беллет'], [262717, 'Таня Гарбарски'], [2333247, 'Лоуренс Липски'], [2333248, 'Луис Бьянчи']]";7.123;6.9;7.0;18000000$;Далеко по соседству;Приключения;Семейный;Экстремальное выживание;Классика (до 2000 года);7.123;6.9;0;DB & CSV
1060;Парк Юрского периода 2: Затерянный мир;Jurassic Park II：The Lost World;1997;12;123;https://image.openmoviedb.com/kinopoisk-images/1599028/a07f4fd8-1b75-43ac-b535-962f2f97b001/600x900;"События этого фильма разворачиваются через четыре года после того, что произошло в «Парке Юрского периода». На близлежащем острове динозавры выжили и адаптировались к дикой природе. Но вот находится Некто, кто хочет перевезти их на материк и заработать на этом, не понимая, какими могут быть последствия, и посылает на остров своих людей.  Джон Хэммонд, который потерял контроль над своей компанией, считает, что у него появился шанс исправить свои прошлые ошибки. Он, в свою очередь, снаряжает экспедицию во главе с Яном Малкольмом, чтобы появиться там до высадки наемников.  В результате происходящих событий две эти конфликтующие группы вынуждены объединиться перед лицом смертельной опасности. И, как потом выясняется, времени им отпущено совсем немного.";"['фантастика', 'боевик', 'приключения']";['США'];"[22260, 'Стивен Спилберг']";"[[1396, 'Джефф Голдблюм'], [2669, 'Джулианна Мур'], [7886, 'Винс Вон'], [25194, 'Ванесса Ли Честер'], [8634, 'Пит Постлетуэйт'], [23863, 'Арлисс Ховард'], [16548, 'Ричард Аттенборо'], [6482, 'Ричард Шифф'], [6237, 'Петер Стормаре'], [74963, 'Харви Джейсон']]";7.031;6.6;6.4;73000000$;Парк Юрского периода 2: Затерянный мир;Приключения;Фантастика;Экзотические путешествия;Классика (до 2000 года);7.031;6.6;5.7;DB & CSV
5815;Призрак и Тьма;暗夜獵殺;1996;18;110;https://image.openmoviedb.com/kinopoisk-images/6201401/fd7711cb-5337-41f8-b723-a390a2267260/600x900;"1898 год. Лондон. Молодой строитель полковник Джон Паттерсон получает срочное задание построить мост через реку в африканской провинции Цаво. Всю жизнь мечтавший о путешествии в Африку, Паттерсон, оставив беременную жену, спешит к месту работ. На месте его ожидает целая армия рабочих.   Несмотря на разницу вероисповеданий, всех их объединяет один общий страх перед объявившимися в этих краях львами-людоедами. В первый же день пребывания Паттерсона на африканской земле лев покалечил одного из индусов. Устроив засаду, Джон застрелил льва к огромной радости всего рабочего люда. Строительство продвигалось успешно до того момента, пока вдруг снова не стали погибать рабочие.";"['триллер', 'драма', 'приключения']";"['США', 'Германия']";"[55650, 'Стивен Хопкинс']";"[[10094, 'Майкл Дуглас'], [8516, 'Вэл Килмер'], [4545, 'Том Уилкинсон'], [1382658, 'Джон Кани'], [13143, 'Бернард Хилл'], [74416, 'Брайан Маккарди'], [7038, 'Эмили Мортимер'], [5925, 'Ом Пури'], [87447, 'Генри Селе'], [87448, 'Курт Эгельхоф']]";7.598;6.8;6.6;55000000$;Призрак и Тьма;Приключения;Триллер;Экстремальное выживание;Классика (до 2000 года);7.598;6.8;5.5;DB & CSV
